ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;local_code;coordinates
BR-0987;small_airport;Fazenda Bela Vista Airport;1522.0;SA;BR;BR-MS;Ribas do Rio Pardo;SIQA;MS0116;-20.388181, -53.373436
BR-0988;small_airport;Fazenda Guanandy Airport;1781.0;SA;BR;BR-MS;Ponta Porã;SIQG;MS0119;-21.880833, -55.539167
BR-0989;small_airport;Fazenda GAP São Pedro Airstrip;692.0;SA;BR;BR-RS;Uruguaiana;SIPR;RS0065;-30.025758, -56.287292
BR-0990;heliport;Cacoal Tradição Helipad;591.0;SA;BR;BR-RO;Cacoal;SIQL;RO0042;-11.441667, -61.480833
BR-0991;heliport;Morumbi Corporate Helipad;2795.0;SA;BR;BR-SP;São Paulo;SIQM;SP0542;-23.624984, -46.701765
BR-0992;heliport;Chica Doce Heliport;118.0;SA;BR;BR-CE;Pindoretama;SIQN;CE0037;-4.043894, -38.327637
BR-0993;heliport;Pedra Caída Heliport;820.0;SA;BR;BR-MA;Carolina;SIQP;MA0058;-7.041051, -47.443145
BR-0994;heliport;Concrelagos Heliport;466.0;SA;BR;BR-RJ;Itaperuna;SIQW;RJ0174;-21.192935, -41.903754
BR-0995;small_airport;Fazenda Iracema Airport;535.0;SA;BR;BR-MT;Cáceres;SIRA;MT0122;-16.079487, -58.097328
BR-0996;small_airport;Rancho Sinuelo Airport;718.0;SA;BR;BR-MS;Caracol;SIRC;MS0123;-22.114895, -57.057989
BR-0997;heliport;Fazenda Retiro da Lagoa Heliport;2365.0;SA;BR;BR-MG;Paraopeba;SIRE;MG0232;-19.26604, -44.522138
BR-0998;heliport;All Park Polo Empresarial Heliport;2461.0;SA;BR;BR-GO;Aparecida de Goiânia;SIRP;GO0160;-16.82516, -49.203482
BR-0999;small_airport;Fazenda Ouro Verde Airport;758.0;SA;BR;BR-MT;Porto Alegre do Norte;SIRQ;MT0125;-10.615239, -51.979506
BR-1000;heliport;Condomínio Trio Ribeirão Helipad.;2283.0;SA;BR;BR-SP;Ribeirão Preto;SIRU;SP0546;-21.199657, -47.807651
BR-1001;small_airport;Fazenda Santo Reis Airport;656.0;SA;BR;BR-MT;Lambari d'Oeste;SIRX;MT0128;-15.280833, -57.793889
BR-1002;small_airport;Fazenda Lagoa Nova Airstrip;2572.0;SA;BR;BR-GO;Damianópolis;SIZN;GO0296;-14.463875, -46.304122
BR-1003;small_airport;Pista Aldeia Aukre;892.0;SA;BR;BR-PA;Ourilândia do Norte;SISA;PA0055;-7.697574, -51.875628
BR-1004;heliport;Cifarma Heliport;2569.0;SA;BR;BR-GO;Goiânia;SISF;GO0161;-16.63107, -49.200728
BR-1005;heliport;Monte Sinai IV Helipad;1808.0;SA;BR;BR-SP;Bauru;SISI;SP0550;-22.324641, -49.075029
BR-1006;small_airport;Molocopote Airstrip;794.0;SA;BR;BR-PA;;;;1.597558, -54.134285
BR-1007;heliport;Jardim Metropolitano Heliport;62.0;SA;BR;BR-CE;Eusébio;SNJG;CE0079;-3.86717, -38.48117
BR-1008;small_airport;Sérgio Miranda Airport;62.0;SA;BR;BR-AP;Macapá;SISM;AP0005;0.040172, -51.149408
BR-1009;heliport;Reobot Heliport;3041.0;SA;BR;BR-SP;Jarinu;SISP;SP0551;-23.157811, -46.662605
BR-1010;small_airport;Fazenda Topázio Imperial Airport;1598.0;SA;BR;BR-MG;Gameleiras;SISU;MG0108;-14.967627, -43.315187
BR-1011;small_airport;Fazenda Colorado Airport;1312.0;SA;BR;BR-MT;;SITC;MT0132;-13.133265, -55.445081
BR-1012;heliport;Fundação Santa Casa de Misericórdia do Pará Helipad;174.0;SA;BR;BR-PA;Belém;SITD;PA0154;-1.439959, -48.481507
BR-1013;small_airport;Fazenda Vitória Airport;2415.0;SA;BR;BR-BA;Luís Eduardo Magalhães;SITH;BA0242;-12.150865, -45.870333
BR-1014;small_airport;Estância Tejo Airport;1096.0;SA;BR;BR-MS;Coxim;SITJ;MS0129;-18.345003, -54.767174
BR-1015;small_airport;Fazenda Figueira II Airport;1355.0;SA;BR;BR-MS;Água Clara;SITL;MS0130;-20.167285, -53.070656
BR-1016;heliport;Torre Oscar Niemeyer Helipad;311.0;SA;BR;BR-RJ;Rio de Janeiro;SITN;RJ0090;-22.940951, -43.179746
